Nitrogen dioxide,Status_V ugm-3,PM10 particulate matter (Hourly measured),Status2_V ugm-3 (INDIC.GRAV),Status2_V ugm-3 (TEOM FDMS),Status2_V ugm-3 (VCM)
15.48345,1,14.8,0,1,0
19.09788,1,10.6,0,1,0
18.18773,1,12.0,0,1,0
23.88165,1,14.8,0,1,0
27.11433,1,14.8,0,1,0
29.36886,1,17.1,0,1,0
17.10745,1,11.1,0,1,0
7.8913,1,20.5,0,1,0
7.00911,1,14.1,0,1,0
6.69779,1,16.9,0,1,0
2.99245,1,12.9,0,1,0
1.70146,1,13.6,0,1,0
1.42775,1,17.6,0,1,0
1.14436,1,21.0,0,1,0
1.88982,1,17.6,0,1,0
4.26925,1,20.8,0,1,0
9.40656,1,21.4,0,1,0
9.09294,1,19.0,0,1,0
11.77272,1,20.2,0,1,0
8.49022,1,12.3,0,1,0
7.99091,1,0.2,0,1,0
5.89195,1,8.0,0,1,0
7.22702,1,10.8,0,1,0
7.88938,1,10.7,0,1,0
7.10515,1,12.4,0,1,0
6.42449,1,12.6,0,1,0
6.9957,1,11.6,0,1,0
14.6087,1,15.9,0,1,0
16.43978,1,15.9,0,1,0
15.74732,1,17.6,0,1,0
15.48647,1,19.7,0,1,0
24.83488,1,21.1,0,1,0
17.60329,1,17.8,0,1,0
23.32182,1,18.5,0,1,0
19.79229,1,15.9,0,1,0
19.9299,1,11.9,0,1,0
16.29887,1,13.3,0,1,0
14.23523,1,14.3,0,1,0
15.78322,1,9.7,0,1,0
12.01849,1,15.7,0,1,0
9.38658,1,13.4,0,1,0
14.84519,1,10.9,0,1,0
13.34926,1,13.5,0,1,0
19.2625,1,11.9,0,1,0
21.03132,1,11.7,0,1,0
14.06402,1,10.1,0,1,0
13.66387,1,11.0,0,1,0
4.78467,1,6.4,0,1,0
6.22674,1,6.0,0,1,0
7.18793,1,9.1,0,1,0
5.91446,1,10.4,0,1,0
9.79866,1,11.0,0,1,0
13.93802,1,14.7,0,1,0
10.35977,1,12.2,0,1,0
8.9771,1,7.6,0,1,0
6.47369,1,4.6,0,1,0
6.12166,1,6.8,0,1,0
3.42114,1,9.9,0,1,0
1.37376,1,4.8,0,1,0
3.32752,1,4.8,0,1,0
0.97158,1,6.4,0,1,0
1.42022,1,10.2,0,1,0
4.04084,1,2.1,0,1,0
6.36738,1,8.2,0,1,0
12.19734,1,5.1,0,1,0
18.72402,1,9.1,0,1,0
11.44421,1,11.5,0,1,0
9.0894,1,8.1,0,1,0
5.29918,1,10.4,0,1,0
4.35987,1,10.4,0,1,0
5.85093,1,10.4,0,1,0
7.06903,1,10.4,0,1,0
7.35054,1,10.4,0,1,0
12.3754,1,10.4,0,1,0
24.97247,1,10.4,0,1,0
39.15434,1,10.4,0,1,0
47.00578,1,10.4,0,1,0
30.02152,1,10.4,0,1,0
31.92217,1,10.4,0,1,0
19.37305,1,10.4,0,1,0
12.08136,1,10.4,0,1,0
5.95266,1,10.4,0,1,0
6.21064,1,10.4,0,1,0
7.08216,1,10.4,0,1,0
4.24192,1,10.4,0,1,0
3.09081,1,10.4,0,1,0
3.13728,1,10.4,0,1,0
3.50995,1,10.4,0,1,0
8.5944,1,10.4,0,1,0
11.94721,1,10.4,0,1,0
18.42143,1,10.4,0,1,0
24.28704,1,10.4,0,1,0
21.15515,1,10.4,0,1,0
22.40118,1,10.4,0,1,0
17.60371,1,10.4,0,1,0
17.36985,1,10.4,0,1,0
15.11077,1,10.4,0,1,0
14.13737,1,10.4,0,1,0
13.21298,1,10.4,0,1,0
12.89026,1,10.4,0,1,0
12.95043,1,10.4,0,1,0
13.64368,1,10.4,0,1,0
12.38377,1,10.4,0,1,0
6.22017,1,10.4,0,1,0
4.738,1,10.4,0,1,0
3.56974,1,10.4,0,1,0
3.7957,1,10.4,0,1,0
1.49865,1,10.4,0,1,0
0.78753,1,10.4,0,1,0
1.28818,1,10.4,0,1,0
1.21066,1,10.4,0,1,0
1.5198,1,10.4,0,1,0
7.41906,1,10.4,0,1,0
10.76509,1,10.4,0,1,0
7.26265,1,10.4,0,1,0
9.74371,1,10.4,0,1,0
5.29876,1,10.4,0,1,0
3.78594,1,10.4,0,1,0
3.03855,1,10.4,0,1,0
3.53072,1,10.4,0,1,0
3.25948,1,10.4,0,1,0
6.21003,1,10.4,0,1,0
10.10443,1,10.4,0,1,0
11.28467,1,10.4,0,1,0
10.69111,1,10.4,0,1,0
11.1816,1,10.4,0,1,0
5.12021,1,10.4,0,1,0
4.31567,1,10.4,0,1,0
5.21478,1,10.4,0,1,0
6.26062,1,10.4,0,1,0
4.13807,1,10.4,0,1,0
5.88092,1,10.4,0,1,0
5.87018,1,10.4,0,1,0
12.04585,1,10.4,0,1,0
14.84132,1,10.4,0,1,0
15.56153,1,10.4,0,1,0
21.49219,1,10.4,0,1,0
20.04488,1,10.4,0,1,0
12.57387,1,10.4,0,1,0
17.26224,1,10.4,0,1,0
13.59621,1,10.4,0,1,0
10.90714,1,10.4,0,1,0
8.32036,1,10.4,0,1,0
6.14044,1,10.4,0,1,0
11.99833,1,10.4,0,1,0
21.98876,1,10.4,0,1,0
12.15732,1,10.4,0,1,0
11.3992,1,10.4,0,1,0
12.66247,1,10.4,0,1,0
9.05137,1,10.4,0,1,0
6.522,1,10.4,0,1,0
6.08705,1,10.4,0,1,0
6.51683,1,10.4,0,1,0
6.24511,1,10.4,0,1,0
6.17701,1,10.4,0,1,0
10.33721,1,10.4,0,1,0
6.5783,1,10.4,0,1,0
6.50403,1,10.4,0,1,0
7.15808,1,10.4,0,1,0
6.16218,1,10.4,0,1,0
8.43458,1,10.4,0,1,0
6.27343,1,10.4,0,1,0
4.59268,1,10.4,0,1,0
0.65215,1,10.4,0,1,0
3.46008,1,10.4,0,1,0
2.25859,1,10.4,0,1,0
2.59706,1,10.4,0,1,0
2.01571,1,10.4,0,1,0
4.04142,1,10.4,0,1,0
3.0477,1,10.4,0,1,0
3.33266,1,10.4,0,1,0
3.97731,1,10.4,0,1,0
5.33881,1,10.4,0,1,0
3.96387,1,10.4,0,1,0
6.7282,1,10.4,0,1,0
3.81847,1,10.4,0,1,0
3.10083,1,10.4,0,1,0
4.51751,1,10.4,0,1,0
4.55566,1,10.4,0,1,0
9.4469,1,10.4,0,1,0
6.08699,1,10.4,0,1,0
15.54094,1,10.4,0,1,0
13.6619,1,10.4,0,1,0
8.25599,1,10.4,0,1,0
14.08202,1,10.4,0,1,0
15.63993,1,10.4,0,1,0
12.31327,1,10.4,0,1,0
6.96314,1,10.4,0,1,0
7.86706,1,10.4,0,1,0
11.67386,1,10.4,0,1,0
8.86446,1,10.4,0,1,0
8.84152,1,10.4,0,1,0
25.71619,1,10.4,0,1,0
44.96446,1,10.4,0,1,0
37.06275,1,10.4,0,1,0
14.80103,1,10.4,0,1,0
10.5832,1,10.4,0,1,0
10.12903,1,10.4,0,1,0
8.58628,1,10.4,0,1,0
8.05276,1,10.4,0,1,0
12.71181,1,10.4,0,1,0
12.85641,1,10.4,0,1,0
17.12128,1,10.4,0,1,0
29.88968,1,10.4,0,1,0
48.63781,1,10.4,0,1,0
50.89789,1,10.4,0,1,0
28.80956,1,10.4,0,1,0
28.23358,1,10.4,0,1,0
32.11312,1,10.4,0,1,0
26.47505,1,10.4,0,1,0
21.89858,1,10.4,0,1,0
18.62179,1,10.4,0,1,0
19.34428,1,10.4,0,1,0
15.45568,1,10.4,0,1,0
18.33165,1,10.4,0,1,0
22.98068,1,10.4,0,1,0
34.20539,1,10.4,0,1,0
39.95999,1,10.4,0,1,0
40.1727,1,10.4,0,1,0
38.55624,1,10.4,0,1,0
33.49383,1,10.4,0,1,0
25.57522,1,10.4,0,1,0
26.56849,1,10.4,0,1,0
25.87302,1,10.4,0,1,0
17.22499,1,10.4,0,1,0
18.75578,1,10.4,0,1,0
20.30494,1,10.4,0,1,0
22.51533,1,10.4,0,1,0
22.39074,1,10.4,0,1,0
19.45883,1,10.4,0,1,0
19.0751,1,10.4,0,1,0
18.43091,1,10.4,0,1,0
19.44936,1,10.4,0,1,0
15.40825,1,10.4,0,1,0
14.05914,1,10.4,0,1,0
12.41557,1,10.4,0,1,0
5.1388,1,10.4,0,1,0
7.94382,1,10.4,0,1,0
7.92432,1,10.4,0,1,0
24.58139,1,10.4,0,1,0
40.82743,1,10.4,0,1,0
24.65118,1,10.4,0,1,0
12.30932,1,10.4,0,1,0
9.74545,1,10.4,0,1,0
10.73096,1,10.4,0,1,0
12.28607,1,10.4,0,1,0
10.53548,1,10.4,0,1,0
11.62923,1,10.4,0,1,0
15.03982,1,10.4,0,1,0
15.83002,1,10.4,0,1,0
26.17649,1,10.4,0,1,0
25.78024,1,10.4,0,1,0
36.10658,1,10.4,0,1,0
41.00503,1,10.4,0,1,0
29.11847,1,10.4,0,1,0
27.54634,1,20.7,0,1,0
37.3076,1,6.6,0,1,0
21.82337,1,8.0,0,1,0
19.04502,1,12.8,0,1,0
17.1404,1,9.8,0,1,0
15.56006,1,13.0,0,1,0
11.16349,1,7.1,0,1,0
8.20353,1,11.8,0,1,0
11.29113,1,11.8,0,1,0
19.384,1,11.8,0,1,0
27.84059,1,11.8,0,1,0
24.91556,1,11.8,0,1,0
11.87795,1,11.8,0,1,0
9.09735,1,11.8,0,1,0
8.72729,1,13.2,0,1,0
15.49828,1,15.4,0,1,0
7.53747,1,15.8,0,1,0
7.53747,1,19.2,0,1,0
12.44862,1,15.6,0,1,0
20.84669,1,19.1,0,1,0
25.08887,1,21.9,0,1,0
40.08911,1,19.4,0,1,0
49.67334,1,30.2,0,1,0
60.48151,1,36.5,0,1,0
64.15841,1,35.0,0,1,0
51.56785,1,34.7,0,1,0
39.18856,1,36.5,0,1,0
38.58602,1,27.7,0,1,0
38.58602,1,31.0,0,1,0
38.58602,1,21.7,0,1,0
38.58602,1,25.6,0,1,0
38.58602,1,20.8,0,1,0
15.55639,1,22.0,0,1,0
19.82005,1,20.7,0,1,0
28.95659,1,21.9,0,1,0
26.55422,1,25.2,0,1,0
27.52876,1,20.9,0,1,0
21.60054,1,19.2,0,1,0
20.76061,1,11.6,0,1,0
17.36219,1,15.0,0,1,0
15.4288,1,11.4,0,1,0
22.33477,1,15.2,0,1,0
26.33424,1,15.0,0,1,0
27.07638,1,15.9,0,1,0
26.54345,1,8.1,0,1,0
37.23862,1,12.5,0,1,0
28.65386,1,14.3,0,1,0
28.01128,1,9.1,0,1,0
22.01312,1,6.8,0,1,0
11.38267,1,10.1,0,1,0
11.03616,1,15.6,0,1,0
10.83659,1,10.3,0,1,0
12.74872,1,10.2,0,1,0
6.0977,1,13.1,0,1,0
9.5145,1,14.3,0,1,0
3.60577,1,14.3,0,1,0
12.31023,1,14.3,0,1,0
21.92663,1,14.3,0,1,0
32.50956,1,14.3,0,1,0
21.65774,1,14.3,0,1,0
24.32376,1,14.3,0,1,0
17.82943,1,14.3,0,1,0
7.64336,1,14.3,0,1,0
13.71265,1,14.3,0,1,0
12.33691,1,14.3,0,1,0
11.24061,1,14.3,0,1,0
15.42025,1,14.3,0,1,0
16.8659,1,14.3,0,1,0
23.85291,1,14.3,0,1,0
55.59222,1,14.3,0,1,0
41.10374,1,14.3,0,1,0
35.08817,1,14.3,0,1,0
38.11983,1,14.3,0,1,0
36.85646,1,14.3,0,1,0
25.86583,1,14.3,0,1,0
17.96245,1,14.3,0,1,0
14.07398,1,14.3,0,1,0
10.20406,1,14.3,0,1,0
12.14778,1,14.3,0,1,0
15.53597,1,14.3,0,1,0
20.56678,1,14.3,0,1,0
28.64705,1,14.3,0,1,0
22.73533,1,14.3,0,1,0
14.38282,1,14.3,0,1,0
15.0556,1,14.3,0,1,0
11.42428,1,14.3,0,1,0
8.20625,1,14.3,0,1,0
5.84413,1,14.3,0,1,0
7.44787,1,14.3,0,1,0
6.09599,1,14.3,0,1,0
12.03922,1,14.3,0,1,0
9.09346,1,14.3,0,1,0
11.52157,1,14.3,0,1,0
10.94894,1,14.3,0,1,0
12.89067,1,14.3,0,1,0
13.82608,1,14.3,0,1,0
8.10151,1,14.3,0,1,0
8.23712,1,14.3,0,1,0
7.26754,1,14.3,0,1,0
22.12275,1,14.3,0,1,0
10.20253,1,14.3,0,1,0
1.42444,1,14.3,0,1,0
2.62236,1,14.3,0,1,0
10.27635,1,14.3,0,1,0
4.59612,1,14.3,0,1,0
9.63573,1,14.3,0,1,0
12.6006,1,14.3,0,1,0
